year_month,country,currency,currency_name,avg_rate,min_rate,max_rate,data_points
2026_09,China,CNY,중국 위안,6.765,6.758,6.7725,12
2026_09,Egypt,EGP,이집트 파운드,51.8135,51.75,51.8583,11
2026_09,Indonesia,IDR,인도네시아 루피아,17649.2727,17536.0,17770.0,11
2026_09,Korea,KRW,대한민국 원,1348.6091,1340.8,1357.4,11
2026_09,Poland,PLN,폴란드 즐로티,3.7288,3.7085,3.7667,11
2026_09,Vietnam,VND,베트남 동,25604.75,25591.0,25615.0,12
2026_08,China,CNY,중국 위안,6.7519,6.749,6.755,21
2026_08,Egypt,EGP,이집트 파운드,51.6781,51.64,51.72,21
2026_08,Indonesia,IDR,인도네시아 루피아,17746.0,17692.0,17800.0,21
2026_08,Korea,KRW,대한민국 원,1350.5333,1345.2,1356.4,21
2026_08,Poland,PLN,폴란드 즐로티,3.7191,3.6839,3.7468,21
2026_08,Vietnam,VND,베트남 동,25610.619,25603.0,25619.0,21
2026_07,China,CNY,중국 위안,6.7763,6.7735,6.7795,23
2026_07,Egypt,EGP,이집트 파운드,50.7274,50.69,50.77,23
2026_07,Indonesia,IDR,인도네시아 루피아,17846.087,17796.0,17904.0,23
2026_07,Korea,KRW,대한민국 원,1365.0348,1359.8,1371.0,23
2026_07,Poland,PLN,폴란드 즐로티,3.7797,3.742,3.8076,23
2026_07,Vietnam,VND,베트남 동,25242.4783,25235.0,25251.0,23
2026_06,China,CNY,중국 위안,6.8148,6.812,6.818,22
2026_06,Egypt,EGP,이집트 파운드,51.5973,51.56,51.64,22
2026_06,Indonesia,IDR,인도네시아 루피아,17617.5455,17566.0,17674.0,22
2026_06,Korea,KRW,대한민국 원,1361.6182,1356.4,1367.6,22
2026_06,Poland,PLN,폴란드 즐로티,3.6988,3.6319,3.7756,21
2026_06,Vietnam,VND,베트남 동,25229.4545,25222.0,25238.0,22
2026_05,China,CNY,중국 위안,6.8419,6.839,6.845,21
2026_05,Egypt,EGP,이집트 파운드,51.5181,51.48,51.56,21
2026_05,Indonesia,IDR,인도네시아 루피아,17500.0,17446.0,17554.0,21
2026_05,Korea,KRW,대한민국 원,1357.7333,1352.4,1363.6,21
2026_05,Poland,PLN,폴란드 즐로티,3.6329,3.5921,3.6709,20
2026_05,Vietnam,VND,베트남 동,25209.619,25202.0,25218.0,21
2026_04,China,CNY,중국 위안,6.8848,6.882,6.888,22
2026_04,Egypt,EGP,이집트 파운드,51.4473,51.41,51.49,22
2026_04,Indonesia,IDR,인도네시아 루피아,17347.5455,17296.0,17404.0,22
2026_04,Korea,KRW,대한민국 원,1354.6182,1349.4,1360.6,22
2026_04,Poland,PLN,폴란드 즐로티,3.6364,3.5912,3.7195,21
2026_04,Vietnam,VND,베트남 동,25189.4545,25182.0,25198.0,22
2026_03,China,CNY,중국 위안,6.9118,6.909,6.915,22
2026_03,Egypt,EGP,이집트 파운드,51.3773,51.34,51.42,22
2026_03,Indonesia,IDR,인도네시아 루피아,17117.5455,17066.0,17174.0,22
2026_03,Korea,KRW,대한민국 원,1359.6182,1354.4,1365.6,22
2026_03,Poland,PLN,폴란드 즐로티,3.697,3.6056,3.7408,22
2026_03,Vietnam,VND,베트남 동,25159.4545,25152.0,25168.0,22
2026_02,China,CNY,중국 위안,6.945,6.942,6.948,20
2026_02,Egypt,EGP,이집트 파운드,51.25,51.21,51.29,20
2026_02,Indonesia,IDR,인도네시아 루피아,16947.3,16896.0,17004.0,20
2026_02,Korea,KRW,대한민국 원,1368.0,1362.4,1373.6,20
2026_02,Poland,PLN,폴란드 즐로티,3.5656,3.5377,3.5898,20
2026_02,Vietnam,VND,베트남 동,25120.0,25112.0,25128.0,20
2026_01,China,CNY,중국 위안,6.9678,6.965,6.971,22
2026_01,Egypt,EGP,이집트 파운드,51.0973,51.06,51.14,22
2026_01,Indonesia,IDR,인도네시아 루피아,16817.5455,16766.0,16874.0,22
2026_01,Korea,KRW,대한민국 원,1374.6182,1369.4,1380.6,22
2026_01,Poland,PLN,폴란드 즐로티,3.5894,3.5045,3.6346,20
2026_01,Vietnam,VND,베트남 동,25079.4545,25072.0,25088.0,22
2025_12,China,CNY,중국 위안,6.9948,6.992,6.998,23
2025_12,Egypt,EGP,이집트 파운드,50.9474,50.91,50.99,23
2025_12,Indonesia,IDR,인도네시아 루피아,16746.087,16696.0,16804.0,23
2025_12,Korea,KRW,대한민국 원,1387.6348,1382.4,1393.6,23
2025_12,Poland,PLN,폴란드 즐로티,3.6108,3.5848,3.6512,20
2025_12,Vietnam,VND,베트남 동,25029.4783,25022.0,25038.0,23
2025_11,China,CNY,중국 위안,7.025,7.022,7.028,20
2025_11,Egypt,EGP,이집트 파운드,50.85,50.81,50.89,20
2025_11,Indonesia,IDR,인도네시아 루피아,16697.3,16646.0,16754.0,20
2025_11,Korea,KRW,대한민국 원,1392.0,1386.4,1397.6,20
2025_11,Poland,PLN,폴란드 즐로티,3.6687,3.6376,3.7091,19
2025_11,Vietnam,VND,베트남 동,24980.0,24972.0,24988.0,20
2025_10,China,CNY,중국 위안,7.0418,7.039,7.045,23
2025_10,Egypt,EGP,이집트 파운드,50.6974,50.66,50.74,23
2025_10,Indonesia,IDR,인도네시아 루피아,16616.087,16566.0,16674.0,23
2025_10,Korea,KRW,대한민국 원,1384.6348,1379.4,1390.6,23
2025_10,Poland,PLN,폴란드 즐로티,3.6504,3.621,3.6897,23
2025_10,Vietnam,VND,베트남 동,24919.4783,24912.0,24928.0,23
2025_09,China,CNY,중국 위안,7.0648,7.062,7.068,22
2025_09,Egypt,EGP,이집트 파운드,50.5473,50.51,50.59,22
2025_09,Indonesia,IDR,인도네시아 루피아,16547.5455,16496.0,16604.0,22
2025_09,Korea,KRW,대한민국 원,1377.6182,1372.4,1383.6,22
2025_09,Poland,PLN,폴란드 즐로티,3.6292,3.5919,3.6626,22
2025_09,Vietnam,VND,베트남 동,24859.4545,24852.0,24868.0,22
2025_08,China,CNY,중국 위안,7.0849,7.082,7.088,21
2025_08,Egypt,EGP,이집트 파운드,50.3481,50.31,50.39,21
2025_08,Indonesia,IDR,인도네시아 루피아,16480.0,16426.0,16534.0,21
2025_08,Korea,KRW,대한민국 원,1369.7333,1364.4,1375.6,21
2025_08,Poland,PLN,폴란드 즐로티,3.6672,3.6332,3.7536,20
2025_08,Vietnam,VND,베트남 동,24789.619,24782.0,24798.0,21
2025_07,China,CNY,중국 위안,7.0978,7.095,7.101,23
2025_07,Egypt,EGP,이집트 파운드,50.0974,50.06,50.14,23
2025_07,Indonesia,IDR,인도네시아 루피아,16396.087,16346.0,16454.0,23
2025_07,Korea,KRW,대한민국 원,1364.6348,1359.4,1370.6,23
2025_07,Poland,PLN,폴란드 즐로티,3.6405,3.593,3.7257,23
2025_07,Vietnam,VND,베트남 동,24719.4783,24712.0,24728.0,23
2025_06,China,CNY,중국 위안,7.1149,7.112,7.118,21
2025_06,Egypt,EGP,이집트 파운드,49.8481,49.81,49.89,21
