date,year_month,country,currency,currency_name,rate,frequency,source
2025_01_01,2025_01,China,CNY,중국 위안,7.182,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_02,2025_01,China,CNY,중국 위안,7.1835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_03,2025_01,China,CNY,중국 위안,7.185,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_06,2025_01,China,CNY,중국 위안,7.1865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_07,2025_01,China,CNY,중국 위안,7.188,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_08,2025_01,China,CNY,중국 위안,7.182,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_09,2025_01,China,CNY,중국 위안,7.1835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_10,2025_01,China,CNY,중국 위안,7.185,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_13,2025_01,China,CNY,중국 위안,7.1865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_14,2025_01,China,CNY,중국 위안,7.188,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_15,2025_01,China,CNY,중국 위안,7.182,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_16,2025_01,China,CNY,중국 위안,7.1835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_17,2025_01,China,CNY,중국 위안,7.185,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_20,2025_01,China,CNY,중국 위안,7.1865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_21,2025_01,China,CNY,중국 위안,7.188,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_22,2025_01,China,CNY,중국 위안,7.182,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_23,2025_01,China,CNY,중국 위안,7.1835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_24,2025_01,China,CNY,중국 위안,7.185,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_27,2025_01,China,CNY,중국 위안,7.1865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_28,2025_01,China,CNY,중국 위안,7.188,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_29,2025_01,China,CNY,중국 위안,7.182,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_30,2025_01,China,CNY,중국 위안,7.1835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_01_31,2025_01,China,CNY,중국 위안,7.185,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_03,2025_02,China,CNY,중국 위안,7.169,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_04,2025_02,China,CNY,중국 위안,7.1705,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_05,2025_02,China,CNY,중국 위안,7.172,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_06,2025_02,China,CNY,중국 위안,7.1735,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_07,2025_02,China,CNY,중국 위안,7.175,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_10,2025_02,China,CNY,중국 위안,7.169,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_11,2025_02,China,CNY,중국 위안,7.1705,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_12,2025_02,China,CNY,중국 위안,7.172,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_13,2025_02,China,CNY,중국 위안,7.1735,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_14,2025_02,China,CNY,중국 위안,7.175,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_17,2025_02,China,CNY,중국 위안,7.169,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_18,2025_02,China,CNY,중국 위안,7.1705,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_19,2025_02,China,CNY,중국 위안,7.172,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_20,2025_02,China,CNY,중국 위안,7.1735,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_21,2025_02,China,CNY,중국 위안,7.175,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_24,2025_02,China,CNY,중국 위안,7.169,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_25,2025_02,China,CNY,중국 위안,7.1705,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_26,2025_02,China,CNY,중국 위안,7.172,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_27,2025_02,China,CNY,중국 위안,7.1735,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_02_28,2025_02,China,CNY,중국 위안,7.175,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_03,2025_03,China,CNY,중국 위안,7.155,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_04,2025_03,China,CNY,중국 위안,7.1565,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_05,2025_03,China,CNY,중국 위안,7.158,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_06,2025_03,China,CNY,중국 위안,7.1595,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_07,2025_03,China,CNY,중국 위안,7.161,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_10,2025_03,China,CNY,중국 위안,7.155,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_11,2025_03,China,CNY,중국 위안,7.1565,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_12,2025_03,China,CNY,중국 위안,7.158,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_13,2025_03,China,CNY,중국 위안,7.1595,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_14,2025_03,China,CNY,중국 위안,7.161,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_17,2025_03,China,CNY,중국 위안,7.155,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_18,2025_03,China,CNY,중국 위안,7.1565,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_19,2025_03,China,CNY,중국 위안,7.158,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_20,2025_03,China,CNY,중국 위안,7.1595,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_21,2025_03,China,CNY,중국 위안,7.161,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_24,2025_03,China,CNY,중국 위안,7.155,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_25,2025_03,China,CNY,중국 위안,7.1565,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_26,2025_03,China,CNY,중국 위안,7.158,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_27,2025_03,China,CNY,중국 위안,7.1595,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_28,2025_03,China,CNY,중국 위안,7.161,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_03_31,2025_03,China,CNY,중국 위안,7.155,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_01,2025_04,China,CNY,중국 위안,7.139,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_02,2025_04,China,CNY,중국 위안,7.1405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_03,2025_04,China,CNY,중국 위안,7.142,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_04,2025_04,China,CNY,중국 위안,7.1435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_07,2025_04,China,CNY,중국 위안,7.145,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_08,2025_04,China,CNY,중국 위안,7.139,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_09,2025_04,China,CNY,중국 위안,7.1405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_10,2025_04,China,CNY,중국 위안,7.142,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_11,2025_04,China,CNY,중국 위안,7.1435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_14,2025_04,China,CNY,중국 위안,7.145,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_15,2025_04,China,CNY,중국 위안,7.139,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_16,2025_04,China,CNY,중국 위안,7.1405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_17,2025_04,China,CNY,중국 위안,7.142,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_18,2025_04,China,CNY,중국 위안,7.1435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_21,2025_04,China,CNY,중국 위안,7.145,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_22,2025_04,China,CNY,중국 위안,7.139,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_23,2025_04,China,CNY,중국 위안,7.1405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_24,2025_04,China,CNY,중국 위안,7.142,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_25,2025_04,China,CNY,중국 위안,7.1435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_28,2025_04,China,CNY,중국 위안,7.145,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_29,2025_04,China,CNY,중국 위안,7.139,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_04_30,2025_04,China,CNY,중국 위안,7.1405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_01,2025_05,China,CNY,중국 위안,7.123,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_02,2025_05,China,CNY,중국 위안,7.1245,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_05,2025_05,China,CNY,중국 위안,7.126,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_06,2025_05,China,CNY,중국 위안,7.1275,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_07,2025_05,China,CNY,중국 위안,7.129,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_08,2025_05,China,CNY,중국 위안,7.123,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_09,2025_05,China,CNY,중국 위안,7.1245,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_12,2025_05,China,CNY,중국 위안,7.126,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_13,2025_05,China,CNY,중국 위안,7.1275,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_14,2025_05,China,CNY,중국 위안,7.129,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_15,2025_05,China,CNY,중국 위안,7.123,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_16,2025_05,China,CNY,중국 위안,7.1245,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_19,2025_05,China,CNY,중국 위안,7.126,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
